ID,Species,Family,bt.family,Figures
usnm_77186_Poecilopsetta_plinthus_radiograph,Poecilopsetta_plinthus,Poecilopsettidae,Poecilopsettidae,P. pli
usnm_77186_Poecilopsetta_plinthus_radiograph_1,Poecilopsetta_plinthus,Poecilopsettidae,Poecilopsettidae,P. pli
usnm_077392_Thysanopsetta_naresi_radiograph,Thysanopsetta_naresi,Paralichthyidae1,Paralichthyidae,T. nar
usnm_77968_Citharichthys_sordidus_radiograph_1,Citharichthys_sordidus,Paralichthyidae1,Paralichthyidae,C. sor
usnm_77968_Citharichthys_sordidus_radiograph_2,Citharichthys_sordidus,Paralichthyidae1,Paralichthyidae,C. sor
usnm_081038_Azevia_panamensis_radiograph,Azevia_panamensis,Paralichthyidae1,Paralichthyidae,A. pan
usnm_86372_Tephrinectes_sinensis_radiograph,Tephrinectes_sinensis,Paralichthyidae2,Paralichthyidae,T. sin
usnm_86372_Tephrinectes_sinensis_radiograph_1,Tephrinectes_sinensis,Paralichthyidae2,Paralichthyidae,T. sin
usnm_86372_Tephrinectes_sinensis_radiograph_2,Tephrinectes_sinensis,Paralichthyidae2,Paralichthyidae,T. sin
usnm_087056_Tephrinectes_lsinensis_radiograph,Tephrinectes_sinensis,Paralichthyidae2,Paralichthyidae,T. sin
usnm_091255_Scophthalmus_aquosus_radiograph_1,Scophthalmus_aquosus,Scophthalmidae2,Scophthalmidae,S. aqu
usnm_091255_Scophthalmus_aquosus_radiograph_2,Scophthalmus_aquosus,Scophthalmidae2,Scophthalmidae,S. aqu
usnm_091255_Scophthalmus_aquosus_radiograph_3,Scophthalmus_aquosus,Scophthalmidae2,Scophthalmidae,S. aqu
usnm_93598_Ancylopsetta_quadrocellata_radiograph,Ancylopsetta_ommata,Paralichthyidae1,Paralichthyidae,A. omm
usnm_93598_Ancylopsetta_quadrocellata_radiograph_1,Ancylopsetta_ommata,Paralichthyidae1,Paralichthyidae,A. omm
usnm_00093611_Etropus_crossotus_radiograph,Etropus_crossotus,Paralichthyidae1,Paralichthyidae,E. cro
usnm_103793_Thysanopsetta_naresi_radiograph,Thysanopsetta_naresi,Paralichthyidae1,Paralichthyidae,T. nar
usnm_118643_Syacium_gunteri_radiograph_1,Syacium_gunteri,Paralichthyidae1,Paralichthyidae,S. gun
usnm_118643_Syacium_gunteri_radiograph_2,Syacium_gunteri,Paralichthyidae1,Paralichthyidae,S. gun
usnm_118643_Syacium_gunteri_radiograph_3,Syacium_gunteri,Paralichthyidae1,Paralichthyidae,S. gun
usnm_119050_Etropus_microstomus_radiograph,Etropus_microstomus,Paralichthyidae1,Paralichthyidae,E. mic
usnm_119050_Etropus_microstomus_radiograph_1,Etropus_microstomus,Paralichthyidae1,Paralichthyidae,E. mic
usnm_119050_Etropus_microstomus_radiograph_3,Etropus_microstomus,Paralichthyidae1,Paralichthyidae,E. mic
usnm_122016_Psettodes_erumei_radiograph,Psettodes_erumei,Psettodiae,Psettodiae,P. eru
